TEAM,W,L,RS,RA
Chicago Cubs,103,58,808,556
Texas Rangers,95,67,765,757
Washington Nationals,95,67,763,612
Cleveland Indians,94,67,777,676
Boston Red Sox,93,69,878,694
Los Angeles Dodgers,91,71,725,638
Baltimore Orioles,89,73,744,715
Toronto Blue Jays,89,73,759,666
New York Mets,87,75,671,617
San Francisco Giants,87,75,715,631
Detroit Tigers,86,75,750,721
St. Louis Cardinals,86,76,779,712
Seattle Mariners,86,76,768,707
New York Yankees,84,78,680,702
Houston Astros,84,78,724,701
Kansas City Royals,81,81,675,712
Miami Marlins,79,82,655,682
Pittsburgh Pirates,78,83,729,758
Chicago White Sox,78,84,686,715
Colorado Rockies,75,87,845,860
Los Angeles Angels,74,88,717,727
Milwaukee Brewers,73,89,671,733
Philadelphia Phillies,71,91,610,796
Arizona Diamondbacks,69,93,752,890
Oakland Athletics,69,93,653,761
Atlanta Braves,68,93,649,779
Tampa Bay Rays,68,94,672,713
San Diego Padres,68,94,686,770
Cincinnati Reds,68,94,716,854
Minnesota Twins,59,103,722,889
